group,id,course,trimester,grade
1,43,Astronomy and Celestial Navigation,2,9.5
1,43,Astronomy and Celestial Navigation,2,12.5
1,43,Astronomy and Celestial Navigation,2,11.5
1,43,Astronomy and Celestial Navigation,2,11
1,43,Environmental Stewardship,2,4.75
1,43,Environmental Stewardship,2,14
1,43,Environmental Stewardship,2,11
1,43,Herbalism and Medicine,2,13.5
1,43,Herbalism and Medicine,2,10.25
1,43,Herbalism and Medicine,2,10.75
1,43,Hunting and Gathering Skills,3,15.5
1,43,Hunting and Gathering Skills,3,8
1,43,Hunting and Gathering Skills,3,13.5
1,43,Hunting and Gathering Skills,3,13.5
1,43,Hunting and Gathering Skills,3,9.5
1,43,Hunting and Gathering Skills,3,10.5
1,43,Hunting and Gathering Skills,3,16
1,43,Language and Linguistics,3,11.1
1,43,Language and Linguistics,3,9.4
1,43,Language and Linguistics,3,11.8
1,43,Shamanism and Spiritual Practices,3,8
1,43,Shamanism and Spiritual Practices,3,12
1,43,Shamanism and Spiritual Practices,3,8
1,43,Shamanism and Spiritual Practices,3,10
1,43,Shamanism and Spiritual Practices,3,9.5
1,43,Shamanism and Spiritual Practices,3,4.5
1,43,Shamanism and Spiritual Practices,3,6
1,43,Shamanism and Spiritual Practices,3,5.5
1,43,Shamanism and Spiritual Practices,3,8.5
1,43,Shamanism and Spiritual Practices,3,3.5
1,43,Social Organization and Governance,1,15
1,43,Social Organization and Governance,1,14
1,43,Social Organization and Governance,1,15
1,43,Social Organization and Governance,1,13
1,43,Social Organization and Governance,1,14
1,43,Social Organization and Governance,1,16
1,43,Social Organization and Governance,1,12
1,43,Social Organization and Governance,1,13
1,43,Tribal Lore and Traditions,2,12.75
1,43,Tribal Lore and Traditions,2,12.5
1,43,Tribal Lore and Traditions,2,13.5
1,43,Tribal Lore and Traditions,2,15.75
1,43,Tribal Lore and Traditions,2,11.25
1,43,Warfare and Diplomacy,3,12.25
1,43,Warfare and Diplomacy,3,15
1,43,Warfare and Diplomacy,3,13.25
1,43,Warfare and Diplomacy,3,14.25
1,43,Warfare and Diplomacy,3,13.5
1,45,Art and Symbolism,1,11.5
1,45,Art and Symbolism,1,8.5
1,45,Art and Symbolism,1,8.5
1,45,Astronomy and Celestial Navigation,2,15.5
1,45,Astronomy and Celestial Navigation,2,12
1,45,Astronomy and Celestial Navigation,2,13.5
1,45,Astronomy and Celestial Navigation,2,9
1,45,Environmental Stewardship,2,10
1,45,Environmental Stewardship,2,13
1,45,Herbalism and Medicine,2,13
1,45,Herbalism and Medicine,2,9.25
1,45,Herbalism and Medicine,2,10.25
1,45,Hunting and Gathering Skills,3,12.5
1,45,Hunting and Gathering Skills,3,12
1,45,Hunting and Gathering Skills,3,12
1,45,Hunting and Gathering Skills,3,14
1,45,Hunting and Gathering Skills,3,14
1,45,Hunting and Gathering Skills,3,10
1,45,Hunting and Gathering Skills,3,7.5
1,45,Language and Linguistics,3,10.3
1,45,Language and Linguistics,3,11.5
1,45,Language and Linguistics,3,13.3
1,45,Language and Linguistics,3,11.6
1,45,Shamanism and Spiritual Practices,3,11.5
1,45,Shamanism and Spiritual Practices,3,10.5
1,45,Shamanism and Spiritual Practices,3,12.5
1,45,Shamanism and Spiritual Practices,3,7
1,45,Shamanism and Spiritual Practices,3,6.5
1,45,Shamanism and Spiritual Practices,3,5
1,45,Shamanism and Spiritual Practices,3,5.5
1,45,Shamanism and Spiritual Practices,3,8
1,45,Shamanism and Spiritual Practices,3,9
1,45,Shamanism and Spiritual Practices,3,11
1,45,Social Organization and Governance,1,15
1,45,Social Organization and Governance,1,13
1,45,Social Organization and Governance,1,13
1,45,Social Organization and Governance,1,13
1,45,Social Organization and Governance,1,15
1,45,Social Organization and Governance,1,14
1,45,Social Organization and Governance,1,15
1,45,Social Organization and Governance,1,16
1,45,Tribal Lore and Traditions,2,16
1,45,Tribal Lore and Traditions,2,9.5
1,45,Tribal Lore and Traditions,2,17.5
1,45,Tribal Lore and Traditions,2,19.75
1,45,Warfare and Diplomacy,3,17.75
1,45,Warfare and Diplomacy,3,14.75
1,45,Warfare and Diplomacy,3,13.75
1,45,Warfare and Diplomacy,3,16.25
1,45,Warfare and Diplomacy,3,15.75
1,53,Art and Symbolism,1,9.5
1,53,Art and Symbolism,1,7
1,53,Art and Symbolism,1,7.5
1,53,Astronomy and Celestial Navigation,2,11
1,53,Astronomy and Celestial Navigation,2,12
1,53,Astronomy and Celestial Navigation,2,13.5
1,53,Astronomy and Celestial Navigation,2,13
1,53,Environmental Stewardship,2,16.25
1,53,Environmental Stewardship,2,17
1,53,Environmental Stewardship,2,8
1,53,Herbalism and Medicine,2,11.75
1,53,Herbalism and Medicine,2,12.75
1,53,Herbalism and Medicine,2,13.5
1,53,Hunting and Gathering Skills,3,10
1,53,Hunting and Gathering Skills,3,14.5
1,53,Hunting and Gathering Skills,3,11.5
1,53,Hunting and Gathering Skills,3,9.5
1,53,Hunting and Gathering Skills,3,13
1,53,Hunting and Gathering Skills,3,16
1,53,Hunting and Gathering Skills,3,10
1,53,Language and Linguistics,3,8.5
1,53,Language and Linguistics,3,11
1,53,Language and Linguistics,3,10.4
1,53,Language and Linguistics,3,12.5
1,53,Shamanism and Spiritual Practices,3,6.5
1,53,Shamanism and Spiritual Practices,3,4.5
1,53,Shamanism and Spiritual Practices,3,5.5
1,53,Shamanism and Spiritual Practices,3,6
1,53,Shamanism and Spiritual Practices,3,6
1,53,Shamanism and Spiritual Practices,3,12
1,53,Shamanism and Spiritual Practices,3,9.5
1,53,Shamanism and Spiritual Practices,3,9
1,53,Shamanism and Spiritual Practices,3,7.5
1,53,Shamanism and Spiritual Practices,3,5
1,53,Social Organization and Governance,1,13
1,53,Social Organization and Governance,1,15
1,53,Social Organization and Governance,1,14
1,53,Social Organization and Governance,1,14
1,53,Social Organization and Governance,1,15
1,53,Social Organization and Governance,1,16
1,53,Social Organization and Governance,1,15
1,53,Social Organization and Governance,1,14
1,53,Tribal Lore and Traditions,2,11.75
1,53,Tribal Lore and Traditions,2,15
1,53,Tribal Lore and Traditions,2,14.75
1,53,Tribal Lore and Traditions,2,16.5
1,53,Tribal Lore and Traditions,2,20
1,53,Warfare and Diplomacy,3,17.5
1,53,Warfare and Diplomacy,3,16.25
1,53,Warfare and Diplomacy,3,18.25
1,53,Warfare and Diplomacy,3,14.75
1,53,Warfare and Diplomacy,3,19.25
1,77,Art and Symbolism,1,7
1,77,Art and Symbolism,1,7.5
1,77,Art and Symbolism,1,5.5
1,77,Astronomy and Celestial Navigation,2,13
1,77,Astronomy and Celestial Navigation,2,11.5
1,77,Astronomy and Celestial Navigation,2,12
1,77,Astronomy and Celestial Navigation,2,12.5
1,77,Environmental Stewardship,2,12.75
1,77,Environmental Stewardship,2,12.25
1,77,Environmental Stewardship,2,11.75
1,77,Herbalism and Medicine,2,14.25
1,77,Herbalism and Medicine,2,9.5
1,77,Herbalism and Medicine,2,10
1,77,Hunting and Gathering Skills,3,11.5
1,77,Hunting and Gathering Skills,3,9
1,77,Hunting and Gathering Skills,3,15
1,77,Hunting and Gathering Skills,3,11
1,77,Hunting and Gathering Skills,3,12.5
1,77,Hunting and Gathering Skills,3,15.5
1,77,Language and Linguistics,3,9.8
1,77,Language and Linguistics,3,10
1,77,Language and Linguistics,3,8.2
1,77,Shamanism and Spiritual Practices,3,6.5
1,77,Shamanism and Spiritual Practices,3,13.5
1,77,Shamanism and Spiritual Practices,3,9.5
1,77,Shamanism and Spiritual Practices,3,12
1,77,Shamanism and Spiritual Practices,3,13
1,77,Shamanism and Spiritual Practices,3,13
1,77,Shamanism and Spiritual Practices,3,4
1,77,Shamanism and Spiritual Practices,3,10.5
1,77,Shamanism and Spiritual Practices,3,9.5
1,77,Shamanism and Spiritual Practices,3,11
1,77,Social Organization and Governance,1,13
1,77,Social Organization and Governance,1,14
1,77,Social Organization and Governance,1,13
1,77,Social Organization and Governance,1,13
1,77,Social Organization and Governance,1,16
1,77,Social Organization and Governance,1,13
1,77,Social Organization and Governance,1,13
1,77,Social Organization and Governance,1,13
1,77,Tribal Lore and Traditions,2,15.75
1,77,Tribal Lore and Traditions,2,12
1,77,Tribal Lore and Traditions,2,20
1,77,Tribal Lore and Traditions,2,14.25
1,77,Warfare and Diplomacy,3,15
1,77,Warfare and Diplomacy,3,16
1,77,Warfare and Diplomacy,3,10.75
1,77,Warfare and Diplomacy,3,11.5
1,77,Warfare and Diplomacy,3,8.25
1,80,Art and Symbolism,1,9
1,80,Art and Symbolism,1,6
1,80,Art and Symbolism,1,10.5
1,80,Astronomy and Celestial Navigation,2,10.5
1,80,Astronomy and Celestial Navigation,2,10.5
1,80,Astronomy and Celestial Navigation,2,13
1,80,Astronomy and Celestial Navigation,2,12
1,80,Environmental Stewardship,2,15
1,80,Environmental Stewardship,2,20
1,80,Environmental Stewardship,2,8.5
1,80,Herbalism and Medicine,2,10.75
1,80,Herbalism and Medicine,2,15.25
1,80,Herbalism and Medicine,2,9.5
1,80,Hunting and Gathering Skills,3,12
1,80,Hunting and Gathering Skills,3,10.5
1,80,Hunting and Gathering Skills,3,18
1,80,Hunting and Gathering Skills,3,16.5
1,80,Hunting and Gathering Skills,3,14
1,80,Hunting and Gathering Skills,3,14.5
1,80,Hunting and Gathering Skills,3,8
1,80,Language and Linguistics,3,10.2
1,80,Language and Linguistics,3,14.6
1,80,Language and Linguistics,3,9.9
1,80,Shamanism and Spiritual Practices,3,6
1,80,Shamanism and Spiritual Practices,3,10
1,80,Shamanism and Spiritual Practices,3,12
1,80,Shamanism and Spiritual Practices,3,9
1,80,Shamanism and Spiritual Practices,3,10
1,80,Shamanism and Spiritual Practices,3,9.5
1,80,Shamanism and Spiritual Practices,3,11
1,80,Shamanism and Spiritual Practices,3,9
1,80,Shamanism and Spiritual Practices,3,11
1,80,Shamanism and Spiritual Practices,3,1
1,80,Social Organization and Governance,1,14
1,80,Social Organization and Governance,1,13
1,80,Social Organization and Governance,1,13
1,80,Social Organization and Governance,1,15
1,80,Social Organization and Governance,1,12
1,80,Social Organization and Governance,1,13
1,80,Social Organization and Governance,1,16
1,80,Social Organization and Governance,1,13
1,80,Tribal Lore and Traditions,2,19.25
1,80,Tribal Lore and Traditions,2,12
1,80,Tribal Lore and Traditions,2,10.25
1,80,Tribal Lore and Traditions,2,11.5
1,80,Warfare and Diplomacy,3,18.75
1,80,Warfare and Diplomacy,3,11.25
1,80,Warfare and Diplomacy,3,12.75
1,80,Warfare and Diplomacy,3,18
1,101,Art and Symbolism,1,5.5
1,101,Art and Symbolism,1,10.5
1,101,Art and Symbolism,1,8
1,101,Astronomy and Celestial Navigation,2,13.5
1,101,Astronomy and Celestial Navigation,2,15
1,101,Astronomy and Celestial Navigation,2,14.5
1,101,Environmental Stewardship,2,12.25
1,101,Environmental Stewardship,2,10.75
1,101,Environmental Stewardship,2,12.5
1,101,Herbalism and Medicine,2,12.75
1,101,Herbalism and Medicine,2,13
1,101,Herbalism and Medicine,2,13.5
1,101,Hunting and Gathering Skills,3,12.5
1,101,Hunting and Gathering Skills,3,10.5
1,101,Hunting and Gathering Skills,3,13.5
1,101,Hunting and Gathering Skills,3,13
1,101,Hunting and Gathering Skills,3,14.5
1,101,Hunting and Gathering Skills,3,9.5
1,101,Hunting and Gathering Skills,3,13
1,101,Language and Linguistics,3,12.1
1,101,Language and Linguistics,3,10.2
1,101,Language and Linguistics,3,11.9
1,101,Language and Linguistics,3,11.4
1,101,Shamanism and Spiritual Practices,3,5.5
1,101,Shamanism and Spiritual Practices,3,10
1,101,Shamanism and Spiritual Practices,3,7.5
1,101,Shamanism and Spiritual Practices,3,13
1,101,Shamanism and Spiritual Practices,3,10.5
1,101,Shamanism and Spiritual Practices,3,11
1,101,Shamanism and Spiritual Practices,3,10
1,101,Shamanism and Spiritual Practices,3,14
1,101,Shamanism and Spiritual Practices,3,7.5
1,101,Shamanism and Spiritual Practices,3,11
1,101,Social Organization and Governance,1,15
1,101,Social Organization and Governance,1,13
1,101,Social Organization and Governance,1,14
1,101,Social Organization and Governance,1,12
1,101,Social Organization and Governance,1,13
1,101,Social Organization and Governance,1,15
1,101,Social Organization and Governance,1,14
1,101,Social Organization and Governance,1,15
1,101,Tribal Lore and Traditions,2,13.25
1,101,Tribal Lore and Traditions,2,19.25
1,101,Tribal Lore and Traditions,2,8.75
1,101,Tribal Lore and Traditions,2,17.5
1,101,Tribal Lore and Traditions,2,11.75
1,101,Warfare and Diplomacy,3,8.5
1,101,Warfare and Diplomacy,3,17.75
1,101,Warfare and Diplomacy,3,17.75
1,101,Warfare and Diplomacy,3,15.5
1,101,Warfare and Diplomacy,3,16
1,168,Art and Symbolism,1,10
1,168,Art and Symbolism,1,9
1,168,Art and Symbolism,1,12.5
1,168,Astronomy and Celestial Navigation,2,9.5
1,168,Astronomy and Celestial Navigation,2,13.5
1,168,Astronomy and Celestial Navigation,2,9
1,168,Astronomy and Celestial Navigation,2,14
1,168,Environmental Stewardship,2,18.5
1,168,Environmental Stewardship,2,13
1,168,Environmental Stewardship,2,11.75
1,168,Herbalism and Medicine,2,14
1,168,Herbalism and Medicine,2,8.5
1,168,Herbalism and Medicine,2,12
1,168,Hunting and Gathering Skills,3,11.5
1,168,Hunting and Gathering Skills,3,11
1,168,Hunting and Gathering Skills,3,14.5
1,168,Hunting and Gathering Skills,3,9
1,168,Hunting and Gathering Skills,3,15.5
1,168,Hunting and Gathering Skills,3,12
1,168,Hunting and Gathering Skills,3,16.5
1,168,Language and Linguistics,3,10.7
1,168,Language and Linguistics,3,9.8
1,168,Language and Linguistics,3,11.2
1,168,Language and Linguistics,3,9.9
1,168,Shamanism and Spiritual Practices,3,8
1,168,Shamanism and Spiritual Practices,3,7.5
1,168,Shamanism and Spiritual Practices,3,7.5
1,168,Shamanism and Spiritual Practices,3,8.5
1,168,Shamanism and Spiritual Practices,3,12.5
1,168,Shamanism and Spiritual Practices,3,6.5
1,168,Shamanism and Spiritual Practices,3,9
1,168,Shamanism and Spiritual Practices,3,8
1,168,Shamanism and Spiritual Practices,3,13.5
1,168,Social Organization and Governance,1,12
1,168,Social Organization and Governance,1,16
1,168,Social Organization and Governance,1,16
1,168,Social Organization and Governance,1,13
1,168,Social Organization and Governance,1,13
1,168,Social Organization and Governance,1,15
1,168,Social Organization and Governance,1,15
1,168,Social Organization and Governance,1,13
1,168,Tribal Lore and Traditions,2,18.75
1,168,Tribal Lore and Traditions,2,20
1,168,Tribal Lore and Traditions,2,18.75
1,168,Tribal Lore and Traditions,2,10.25
1,168,Tribal Lore and Traditions,2,8.5
1,168,Warfare and Diplomacy,3,16.25
1,168,Warfare and Diplomacy,3,15
1,168,Warfare and Diplomacy,3,17.5
1,168,Warfare and Diplomacy,3,12.5
1,168,Warfare and Diplomacy,3,17.75
1,203,Art and Symbolism,1,8.5
1,203,Art and Symbolism,1,9.5
1,203,Art and Symbolism,1,10.5
1,203,Astronomy and Celestial Navigation,2,12.5
1,203,Astronomy and Celestial Navigation,2,15.5
1,203,Astronomy and Celestial Navigation,2,12
1,203,Environmental Stewardship,2,11.5
1,203,Environmental Stewardship,2,14.25
1,203,Environmental Stewardship,2,14
1,203,Herbalism and Medicine,2,11.25
1,203,Herbalism and Medicine,2,7.75
1,203,Herbalism and Medicine,2,14
1,203,Hunting and Gathering Skills,3,11.5
1,203,Hunting and Gathering Skills,3,13
1,203,Hunting and Gathering Skills,3,13.5
1,203,Hunting and Gathering Skills,3,12.5
1,203,Hunting and Gathering Skills,3,14
1,203,Hunting and Gathering Skills,3,12
1,203,Hunting and Gathering Skills,3,10.5
1,203,Language and Linguistics,3,12.1
1,203,Language and Linguistics,3,11.7
1,203,Language and Linguistics,3,10.5
1,203,Language and Linguistics,3,9.6
1,203,Shamanism and Spiritual Practices,3,9.5
1,203,Shamanism and Spiritual Practices,3,11.5
1,203,Shamanism and Spiritual Practices,3,6
1,203,Shamanism and Spiritual Practices,3,10.5
1,203,Shamanism and Spiritual Practices,3,6.5
1,203,Shamanism and Spiritual Practices,3,11
1,203,Shamanism and Spiritual Practices,3,13
1,203,Shamanism and Spiritual Practices,3,15
1,203,Shamanism and Spiritual Practices,3,11.5
1,203,Shamanism and Spiritual Practices,3,9.5
1,203,Social Organization and Governance,1,14
1,203,Social Organization and Governance,1,14
1,203,Social Organization and Governance,1,14
1,203,Social Organization and Governance,1,14
1,203,Social Organization and Governance,1,15
1,203,Social Organization and Governance,1,15
1,203,Social Organization and Governance,1,15
1,203,Social Organization and Governance,1,16
1,203,Tribal Lore and Traditions,2,20
1,203,Tribal Lore and Traditions,2,15.25
1,203,Tribal Lore and Traditions,2,18
1,203,Warfare and Diplomacy,3,12.75
1,203,Warfare and Diplomacy,3,13
1,203,Warfare and Diplomacy,3,15.5
1,203,Warfare and Diplomacy,3,16.75
1,203,Warfare and Diplomacy,3,19.25
1,217,Art and Symbolism,1,6
1,217,Art and Symbolism,1,7.5
1,217,Art and Symbolism,1,8.5
1,217,Astronomy and Celestial Navigation,2,9.5
1,217,Astronomy and Celestial Navigation,2,12.5
1,217,Astronomy and Celestial Navigation,2,13.5
1,217,Astronomy and Celestial Navigation,2,11.5
1,217,Environmental Stewardship,2,6.5
1,217,Environmental Stewardship,2,12.5
1,217,Herbalism and Medicine,2,7.25
1,217,Herbalism and Medicine,2,11.5
1,217,Herbalism and Medicine,2,13.25
1,217,Hunting and Gathering Skills,3,14
1,217,Hunting and Gathering Skills,3,15
1,217,Hunting and Gathering Skills,3,13.5
1,217,Hunting and Gathering Skills,3,14.5
1,217,Hunting and Gathering Skills,3,9
1,217,Hunting and Gathering Skills,3,15
1,217,Language and Linguistics,3,8.7
1,217,Language and Linguistics,3,13.1
1,217,Language and Linguistics,3,9.4
1,217,Language and Linguistics,3,13
1,217,Shamanism and Spiritual Practices,3,5.5
1,217,Shamanism and Spiritual Practices,3,5
1,217,Shamanism and Spiritual Practices,3,5
1,217,Shamanism and Spiritual Practices,3,10
1,217,Shamanism and Spiritual Practices,3,10
1,217,Shamanism and Spiritual Practices,3,6
1,217,Shamanism and Spiritual Practices,3,5
1,217,Shamanism and Spiritual Practices,3,11
1,217,Shamanism and Spiritual Practices,3,3.5
1,217,Social Organization and Governance,1,13
1,217,Social Organization and Governance,1,15
1,217,Social Organization and Governance,1,16
1,217,Social Organization and Governance,1,12
1,217,Social Organization and Governance,1,15
1,217,Social Organization and Governance,1,12
1,217,Social Organization and Governance,1,12
1,217,Social Organization and Governance,1,11
1,217,Tribal Lore and Traditions,2,19.5
1,217,Tribal Lore and Traditions,2,10.75
1,217,Tribal Lore and Traditions,2,14.25
1,217,Tribal Lore and Traditions,2,8.5
1,217,Tribal Lore and Traditions,2,14.5
1,217,Warfare and Diplomacy,3,10.75
1,217,Warfare and Diplomacy,3,13.5
1,217,Warfare and Diplomacy,3,20
1,217,Warfare and Diplomacy,3,10
1,217,Warfare and Diplomacy,3,11
1,233,Art and Symbolism,1,7
1,233,Art and Symbolism,1,8
1,233,Art and Symbolism,1,9
1,233,Astronomy and Celestial Navigation,2,10.5
1,233,Astronomy and Celestial Navigation,2,8
1,233,Astronomy and Celestial Navigation,2,13.5
1,233,Astronomy and Celestial Navigation,2,11.5
1,233,Environmental Stewardship,2,10
1,233,Environmental Stewardship,2,11.5
1,233,Environmental Stewardship,2,12.5
1,233,Herbalism and Medicine,2,11.5
1,233,Herbalism and Medicine,2,15.25
1,233,Herbalism and Medicine,2,6.5
1,233,Hunting and Gathering Skills,3,15.5
1,233,Hunting and Gathering Skills,3,12.5
1,233,Hunting and Gathering Skills,3,14.5
1,233,Hunting and Gathering Skills,3,8.5
1,233,Hunting and Gathering Skills,3,12.5
1,233,Language and Linguistics,3,11.3
1,233,Language and Linguistics,3,8.7
1,233,Language and Linguistics,3,10.3
1,233,Language and Linguistics,3,10.4
1,233,Shamanism and Spiritual Practices,3,6.5
1,233,Shamanism and Spiritual Practices,3,7
1,233,Shamanism and Spiritual Practices,3,9.5
1,233,Shamanism and Spiritual Practices,3,5.5
1,233,Shamanism and Spiritual Practices,3,7
1,233,Shamanism and Spiritual Practices,3,2.5
1,233,Shamanism and Spiritual Practices,3,9
1,233,Shamanism and Spiritual Practices,3,9.5
1,233,Shamanism and Spiritual Practices,3,6.5
1,233,Shamanism and Spiritual Practices,3,9.5
1,233,Social Organization and Governance,1,13
1,233,Social Organization and Governance,1,15
1,233,Social Organization and Governance,1,12
1,233,Social Organization and Governance,1,14
1,233,Social Organization and Governance,1,14
1,233,Social Organization and Governance,1,14
1,233,Social Organization and Governance,1,13
1,233,Tribal Lore and Traditions,2,16.5
1,233,Tribal Lore and Traditions,2,15.75
1,233,Tribal Lore and Traditions,2,9.5
1,233,Tribal Lore and Traditions,2,17
1,233,Tribal Lore and Traditions,2,15.25
1,233,Warfare and Diplomacy,3,13.75
1,233,Warfare and Diplomacy,3,14.75
1,233,Warfare and Diplomacy,3,16.25
1,233,Warfare and Diplomacy,3,11.25
1,233,Warfare and Diplomacy,3,13.25
1,286,Art and Symbolism,1,3.5
1,286,Art and Symbolism,1,8.5
1,286,Art and Symbolism,1,12.5
1,286,Astronomy and Celestial Navigation,2,12.5
1,286,Astronomy and Celestial Navigation,2,10.5
1,286,Astronomy and Celestial Navigation,2,13
1,286,Astronomy and Celestial Navigation,2,9.5
1,286,Environmental Stewardship,2,7.5
1,286,Environmental Stewardship,2,14
1,286,Environmental Stewardship,2,8.25
1,286,Herbalism and Medicine,2,12.5
1,286,Herbalism and Medicine,2,11
1,286,Herbalism and Medicine,2,11
1,286,Hunting and Gathering Skills,3,15.5
1,286,Hunting and Gathering Skills,3,14.5
1,286,Hunting and Gathering Skills,3,13.5
1,286,Hunting and Gathering Skills,3,13.5
1,286,Hunting and Gathering Skills,3,8.5
1,286,Hunting and Gathering Skills,3,9.5
1,286,Hunting and Gathering Skills,3,12.5
1,286,Language and Linguistics,3,7.5
1,286,Language and Linguistics,3,10.7
1,286,Language and Linguistics,3,5.4
1,286,Language and Linguistics,3,11
1,286,Shamanism and Spiritual Practices,3,11.5
1,286,Shamanism and Spiritual Practices,3,7
1,286,Shamanism and Spiritual Practices,3,11
1,286,Shamanism and Spiritual Practices,3,9
1,286,Shamanism and Spiritual Practices,3,4
1,286,Shamanism and Spiritual Practices,3,10.5
1,286,Shamanism and Spiritual Practices,3,3
1,286,Shamanism and Spiritual Practices,3,5
1,286,Shamanism and Spiritual Practices,3,8.5
1,286,Shamanism and Spiritual Practices,3,12
1,286,Social Organization and Governance,1,15
1,286,Social Organization and Governance,1,13
1,286,Social Organization and Governance,1,15
1,286,Social Organization and Governance,1,14
1,286,Social Organization and Governance,1,13
1,286,Social Organization and Governance,1,14
1,286,Social Organization and Governance,1,15
1,286,Social Organization and Governance,1,13
1,286,Tribal Lore and Traditions,2,17.75
1,286,Tribal Lore and Traditions,2,19.25
1,286,Tribal Lore and Traditions,2,16.5
1,286,Tribal Lore and Traditions,2,18.75
1,286,Tribal Lore and Traditions,2,16.25
1,286,Warfare and Diplomacy,3,15
1,286,Warfare and Diplomacy,3,12.75
1,286,Warfare and Diplomacy,3,17.5
1,286,Warfare and Diplomacy,3,14.5
1,286,Warfare and Diplomacy,3,14.25
1,305,Art and Symbolism,1,5.5
1,305,Art and Symbolism,1,6.5
1,305,Art and Symbolism,1,0.5
1,305,Astronomy and Celestial Navigation,2,11.5
1,305,Astronomy and Celestial Navigation,2,13
1,305,Astronomy and Celestial Navigation,2,11.5
1,305,Astronomy and Celestial Navigation,2,11.5
1,305,Environmental Stewardship,2,12.5
1,305,Environmental Stewardship,2,13.25
1,305,Environmental Stewardship,2,16.25
1,305,Herbalism and Medicine,2,13.25
1,305,Herbalism and Medicine,2,10.5
1,305,Herbalism and Medicine,2,4
1,305,Hunting and Gathering Skills,3,10
1,305,Hunting and Gathering Skills,3,11.5
1,305,Hunting and Gathering Skills,3,10.5
1,305,Hunting and Gathering Skills,3,10
1,305,Hunting and Gathering Skills,3,13.5
1,305,Hunting and Gathering Skills,3,13.5
1,305,Language and Linguistics,3,9.7
1,305,Language and Linguistics,3,10.7
1,305,Language and Linguistics,3,7.9
1,305,Language and Linguistics,3,10.2
1,305,Shamanism and Spiritual Practices,3,7
1,305,Shamanism and Spiritual Practices,3,17
1,305,Shamanism and Spiritual Practices,3,2
1,305,Shamanism and Spiritual Practices,3,6
1,305,Shamanism and Spiritual Practices,3,13.5
1,305,Shamanism and Spiritual Practices,3,14.5
1,305,Shamanism and Spiritual Practices,3,6
1,305,Shamanism and Spiritual Practices,3,8.5
1,305,Shamanism and Spiritual Practices,3,10
1,305,Shamanism and Spiritual Practices,3,12.5
1,305,Social Organization and Governance,1,13
1,305,Social Organization and Governance,1,14
1,305,Social Organization and Governance,1,13
1,305,Social Organization and Governance,1,14
1,305,Social Organization and Governance,1,14
1,305,Social Organization and Governance,1,18
1,305,Social Organization and Governance,1,13
1,305,Social Organization and Governance,1,14
1,305,Tribal Lore and Traditions,2,13.5
1,305,Tribal Lore and Traditions,2,19
1,305,Tribal Lore and Traditions,2,13.25
1,305,Tribal Lore and Traditions,2,18.75
1,305,Tribal Lore and Traditions,2,12.75
1,305,Warfare and Diplomacy,3,15.5
1,305,Warfare and Diplomacy,3,12.5
1,305,Warfare and Diplomacy,3,12.25
1,305,Warfare and Diplomacy,3,16
1,305,Warfare and Diplomacy,3,11.25
1,308,Art and Symbolism,1,9
1,308,Art and Symbolism,1,4
1,308,Art and Symbolism,1,9
